time,open,high,low,close,Volume
1978-01-02,195,202.5,182,190,0
1978-02-01,188.5,199.5,158.8,159.46,0
1978-03-01,159.5,173.5,144.5,168.65,0
1978-04-03,163,183.25,148,154.13,0
1978-05-01,153.75,171,152,171,0
1978-06-01,175,186.5,144,146.18,0
1978-07-03,142.18,143,106.6,128.46,0
1978-08-01,124.25,151.75,116,151.3,0
1978-09-01,153.4,156.4,142.1,149.65,0
1978-10-02,151,158,145.5,153.06,0
1978-11-01,150.5,154,130.5,133.98,0
1978-12-01,133,134,117.5,132.88,0
1979-01-01,133.5,137.25,123.6,127.76,0
1979-02-01,125.75,129.1,119.41,127.47,0
1979-03-01,127.5,138,126.6,137.49,0
1979-04-02,133.5,156.25,132.5,156.04,0
1979-05-01,155.3,159.35,148,155.82,0
1979-06-01,174,221.54,170,221.53,0
1979-07-02,220.25,220.5,187.75,198,0
1979-08-01,197,208,188.5,207.46,0
1979-09-03,206.5,217.65,202,213.81,0
1979-10-01,213.75,223,201.5,212.3,0
1979-11-01,212,215.49,197.71,205.85,0
1979-12-03,202.85,203.25,181,181.56,0
1980-01-01,182,183.75,160.1,166.39,0
1980-02-01,167.5,184.5,163,183.26,0
1980-03-03,182.75,194.75,180.75,182.25,0
1980-04-01,181,193.7,177.75,184.65,0
1980-05-01,184.75,204.5,182.5,194.05,0
1980-06-02,196.25,202.3,176,177.92,0
1980-07-01,176,179,130.5,143.06,0
1980-08-01,140,157.25,131,134.92,0
1980-09-01,131,146.4,121.5,126.66,0
1980-10-01,127.75,135.7,124.05,125.14,0
1980-11-03,124.25,124.6,110.75,121.38,0
1980-12-01,122.25,129.75,113.25,126.8,0
1981-01-01,126.5,134.8,118.1,122.36,0
1981-02-02,120.75,127.95,115.55,123.09,0
1981-03-02,121.7,131.4,117.65,128.66,0
1981-04-01,127.5,129.2,122.25,126.84,0
1981-05-01,126.7,128.9,110,113.78,0
1981-06-01,111.5,113,83.75,92.02,0
1981-07-01,94.25,132.5,87.75,123.13,0
1981-08-03,122,123.13,98.08,98.08,0
1981-09-01,96.3,132.5,95.25,129.15,0
