Date,Negative_News,Total_News
1996-10-27,445.1666666666667,3108.666666666667
1996-11-27,467.08333333333337,3181.3333333333335
1996-12-27,489.0,3254.0
1997-01-27,478.1666666666667,3207.5833333333335
1997-02-27,467.3333333333333,3161.1666666666665
1997-03-27,456.5,3114.75
1997-04-27,445.6666666666667,3068.3333333333335
1997-05-27,434.8333333333333,3021.9166666666665
1997-06-27,424.0,2975.5
1997-07-27,413.16666666666663,2929.0833333333335
1997-08-27,402.3333333333333,2882.6666666666665
1997-09-27,391.5,2836.25
1997-10-27,380.66666666666663,2789.8333333333335
1997-11-27,369.8333333333333,2743.4166666666665
1997-12-27,359.0,2697.0
1998-01-27,354.5833333333333,2714.25
1998-02-27,350.1666666666667,2731.5
1998-03-27,345.75,2748.75
1998-04-27,341.3333333333333,2766.0
1998-05-27,336.9166666666667,2783.25
1998-06-27,332.5,2800.5
1998-07-27,328.0833333333333,2817.75
1998-08-27,323.6666666666667,2835.0
1998-09-27,319.25,2852.25
1998-10-27,314.8333333333333,2869.5
1998-11-27,310.4166666666667,2886.75
1998-12-27,306.0,2904.0
1999-01-27,304.3333333333333,2902.6666666666665
1999-02-27,302.6666666666667,2901.3333333333335
1999-03-27,301.0,2900.0
1999-04-27,299.3333333333333,2898.6666666666665
1999-05-27,297.6666666666667,2897.3333333333335
1999-06-27,296.0,2896.0
1999-07-27,294.3333333333333,2894.6666666666665
1999-08-27,292.6666666666667,2893.3333333333335
1999-09-27,291.0,2892.0
1999-10-27,289.3333333333333,2890.6666666666665
1999-11-27,287.6666666666667,2889.3333333333335
1999-12-27,286.0,2888.0
2000-01-27,297.25,2933.5
2000-02-27,308.5,2979.0
2000-03-27,319.75,3024.5
2000-04-27,331.0,3070.0
2000-05-27,342.25,3115.5
2000-06-27,353.5,3161.0
2000-07-27,364.75,3206.5
2000-08-27,376.0,3252.0
2000-09-27,387.25,3297.5
2000-10-27,398.5,3343.0
2000-11-27,409.75,3388.5
2000-12-27,421.0,3434.0
2001-01-27,414.0833333333333,3425.4166666666665
2001-02-27,407.1666666666667,3416.8333333333335
2001-03-27,400.25,3408.25
2001-04-27,393.3333333333333,3399.6666666666665
2001-05-27,386.4166666666667,3391.0833333333335
2001-06-27,379.5,3382.5
2001-07-27,372.5833333333333,3373.9166666666665
2001-08-27,365.6666666666667,3365.3333333333335
2001-09-27,358.75,3356.75
2001-10-27,351.8333333333333,3348.1666666666665
2001-11-27,344.91666666666663,3339.5833333333335
2001-12-27,338.0,3331.0
2002-01-27,335.8333333333333,3377.6666666666665
2002-02-27,333.6666666666667,3424.3333333333335
2002-03-27,331.5,3471.0
2002-04-27,329.3333333333333,3517.6666666666665
2002-05-27,327.1666666666667,3564.3333333333335
2002-06-27,325.0,3611.0
