Date,Indonesia_temperature_2m_mean,Indonesia_daylight_duration,Indonesia_sunshine_duration,Indonesia_precipitation_sum,Indonesia_wind_speed_10m_max,Indonesia_wind_gusts_10m_max,Indonesia_et0_fao_evapotranspiration
06/2003,27.279638133333332,11.931172231481481,10.769997962962965,1.6033333466666666,11.662680716666667,28.307999399999996,4.190886526666667
06/2004,26.205472333333333,11.930929351851852,10.646579407407408,1.2266666696666666,10.010214023333333,25.1759992,3.7540053366666664
06/2005,26.005680766666668,11.931010666666667,9.499021567592592,4.013333441333334,8.51779838,23.351999566666667,3.3378923533333333
06/2006,25.710333,11.931086953703703,9.6051545,3.3366666133333336,8.89076412,22.979999666666668,3.43068766
06/2007,25.930333,11.931152037037037,9.694677055555555,4.333333383333334,9.197608523333335,23.495999616666666,3.316498463333333
06/2008,25.814917066666666,11.930920638888889,9.701101950925926,4.343333123333334,10.332443506666667,24.4439995,3.427035603333333
06/2009,26.422833733333334,11.93101037962963,10.2907865,2.7733333866666663,9.4511235,24.503999399999998,3.6169467066666665
06/2010,25.97804113333333,11.931092694444443,8.720212456388888,4.063333406333333,8.742220363333333,22.199999533333333,3.1217424133333336
06/2011,26.0343606,11.931164157407407,10.011828638888888,2.930000071333333,8.52547202,21.671999566666667,3.4490385233333334
06/2012,26.307069633333334,11.930945925925926,10.087840175925926,1.9566666780000002,10.46584847,24.851999366666668,3.60622322
06/2013,26.37109663333333,11.931036046296297,9.686299212962963,4.086666666666667,7.54521543,20.9399993,3.481350743333333
06/2014,26.38248583333333,11.93111038888889,9.655751351851851,4.413333300000001,9.466921243333333,23.603999666666667,3.353919633333333
06/2015,26.843942933333334,11.931175601851853,10.458504833333334,2.4766666716666665,10.968987243333334,27.539998966666666,3.83640894
06/2016,26.2348468,11.930956203703705,9.411576990740741,3.7566667600000003,7.854113283333334,21.131999633333333,3.40652419
06/2017,26.261846366666667,11.93103662037037,9.708264731481481,2.443333358,9.571961536666667,21.9359999,3.349045643333333
06/2018,25.851569400000002,11.93109937037037,9.022241212962964,4.496666665,10.750494143333333,24.203999466666666,3.18725996
06/2019,26.191568500000002,11.93115387962963,9.010549496296298,3.703333428,10.32537403,23.735999466666666,3.22534402
06/2020,25.9391392,11.93093150925926,8.90644587037037,5.290000048,10.29252537,24.935999583333334,3.096693463333333
06/2021,26.393721466666666,11.93100325925926,9.896019796296295,4.68666665,9.025387426666667,21.227999633333333,3.5536327733333333
06/2022,25.3719853,11.93106114814815,8.29580948148148,10.426666646666666,10.140964233333333,23.627999666666664,3.3399401
06/2023,26.196429366666667,11.931123351851852,9.113857796296296,6.269999986666666,10.88627871,22.991999366666665,3.52451085
06/2024,26.206082366666667,11.930913324074075,8.746328657407409,6.440000238333334,10.646945066666666,25.3679995,3.5004514600000003
07/1990,25.551569677419355,11.947087643369176,10.070614014336918,2.8096774580645163,8.884670577419355,22.447741467741935,3.569393841935484
07/1991,27.174284387096776,11.9467546953405,10.5481651344086,0.7354838677419356,10.97198327419355,27.487740967741935,4.1745377999999995
07/1992,25.05849206451613,11.94776067204301,9.334156326164875,4.3193547500000005,9.44763996451613,24.78193519354839,3.248391983870968
07/1993,25.280399838709677,11.947467051971326,9.910448467741936,5.500000080645161,8.942197732258066,22.981935032258065,3.3465123870967743
07/1994,26.759028419354838,11.947146299283153,10.770545824372759,0.7580645064516129,12.12913179032258,28.985806419354837,4.423607619354839
07/1995,25.257685516129033,11.946822419354838,9.37691738888889,4.512903351612903,11.257168080645162,27.55741864516129,3.312971409677419
07/1996,25.740078258064514,11.94783167562724,9.55837070340502,3.703225816129032,9.62313143548387,23.53935387096774,3.453422061290323
07/1997,27.886448451612903,11.947521603942652,9.9946996827957,1.2064515806451612,13.20957435483871,31.459354322580644,4.581246067741936
