Date,Negative_News,Total_News,Negative_News_Ratio
1996-05-27,335.58333333333337,2745.3333333333335,0.12223773676542012
1996-06-27,357.5,2818.0,0.12686302342086586
1996-07-27,379.4166666666667,2890.6666666666665,0.13125576568265684
1996-08-27,401.33333333333337,2963.3333333333335,0.13543307086614173
1996-09-27,423.25,3036.0,0.13941040843214755
1996-10-27,445.1666666666667,3108.666666666667,0.14320180141539782
1996-11-27,467.08333333333337,3181.3333333333335,0.14681999161777035
1996-12-27,489.0,3254.0,0.15027658266748617
1997-01-27,478.1666666666667,3207.5833333333335,0.14907380946195214
1997-02-27,467.3333333333333,3161.1666666666665,0.14783571466230822
1997-03-27,456.5,3114.75,0.146560719158841
1997-04-27,445.6666666666667,3068.3333333333335,0.1452471482889734
1997-05-27,434.8333333333333,3021.9166666666665,0.14389322449880043
1997-06-27,424.0,2975.5,0.14249705931776172
1997-07-27,413.16666666666663,2929.0833333333335,0.14105664457025802
1997-08-27,402.3333333333333,2882.6666666666665,0.13956984273820536
1997-09-27,391.5,2836.25,0.1380343763772587
1997-10-27,380.66666666666663,2789.8333333333335,0.136447816476492
1997-11-27,369.8333333333333,2743.4166666666665,0.1348075696364023
1997-12-27,359.0,2697.0,0.13311086392287727
1998-01-27,354.5833333333333,2714.25,0.13063768382917318
1998-02-27,350.1666666666667,2731.5,0.12819574104582343
1998-03-27,345.75,2748.75,0.12578444747612552
1998-04-27,341.3333333333333,2766.0,0.12340322969390213
1998-05-27,336.9166666666667,2783.25,0.12105152848887692
1998-06-27,332.5,2800.5,0.11872879842885199
1998-07-27,328.0833333333333,2817.75,0.11643450743796764
1998-08-27,323.6666666666667,2835.0,0.11416813639035862
1998-09-27,319.25,2852.25,0.11192917871855552
1998-10-27,314.8333333333333,2869.5,0.10971714003601091
1998-11-27,310.4166666666667,2886.75,0.10753153777315898
1998-12-27,306.0,2904.0,0.10537190082644628
1999-01-27,304.3333333333333,2902.6666666666665,0.10484611851171337
1999-02-27,302.6666666666667,2901.3333333333335,0.10431985294117647
1999-03-27,301.0,2900.0,0.10379310344827586
1999-04-27,299.3333333333333,2898.6666666666665,0.10326586936522539
1999-05-27,297.6666666666667,2897.3333333333335,0.10273815002300966
1999-06-27,296.0,2896.0,0.10220994475138122
1999-07-27,294.3333333333333,2894.6666666666665,0.10168125287885767
1999-08-27,292.6666666666667,2893.3333333333335,0.1011520737327189
1999-09-27,291.0,2892.0,0.10062240663900415
1999-10-27,289.3333333333333,2890.6666666666665,0.10009225092250923
1999-11-27,287.6666666666667,2889.3333333333335,0.09956160590678358
1999-12-27,286.0,2888.0,0.09903047091412742
2000-01-27,297.25,2933.5,0.10132946991648202
2000-02-27,308.5,2979.0,0.10355824102047667
2000-03-27,319.75,3024.5,0.10571995371135724
2000-04-27,331.0,3070.0,0.10781758957654723
2000-05-27,342.25,3115.5,0.10985395602632002
2000-06-27,353.5,3161.0,0.11183169882948434
2000-07-27,364.75,3206.5,0.11375331358178699
2000-08-27,376.0,3252.0,0.11562115621156212
2000-09-27,387.25,3297.5,0.11743745261561789
2000-10-27,398.5,3343.0,0.11920430750822615
2000-11-27,409.75,3388.5,0.1209237125571787
2000-12-27,421.0,3434.0,0.12259755387303437
2001-01-27,414.0833333333333,3425.4166666666665,0.12088553703928963
2001-02-27,407.1666666666667,3416.8333333333335,0.11916491878444954
2001-03-27,400.25,3408.25,0.1174356341230837
2001-04-27,393.3333333333333,3399.6666666666665,0.11569761741347191
2001-05-27,386.4166666666667,3391.0833333333335,0.1139508023492984
2001-06-27,379.5,3382.5,0.11219512195121951
2001-07-27,372.5833333333333,3373.9166666666665,0.11043050855830266
2001-08-27,365.6666666666667,3365.3333333333335,0.1086568938193344
2001-09-27,358.75,3356.75,0.10687420868399494
2001-10-27,351.8333333333333,3348.1666666666665,0.10508238339389715
2001-11-27,344.91666666666663,3339.5833333333335,0.10328134747348719
2001-12-27,338.0,3331.0,0.10147102972080456
2002-01-27,335.8333333333333,3377.6666666666665,0.09942761275041942
2002-02-27,333.6666666666667,3424.3333333333335,0.09743989097634576
2002-03-27,331.5,3471.0,0.09550561797752809
2002-04-27,329.3333333333333,3517.6666666666665,0.09362266654032028
2002-05-27,327.1666666666667,3564.3333333333335,0.0917890208547648
2002-06-27,325.0,3611.0,0.09000276931597895
2002-07-27,322.8333333333333,3657.6666666666665,0.08826209787660622
2002-08-27,320.6666666666667,3704.3333333333335,0.0865652839017367
2002-09-27,318.5,3751.0,0.08491069048253799
2002-10-27,316.3333333333333,3797.6666666666665,0.08329676116913895
2002-11-27,314.1666666666667,3844.333333333333,0.08172201508714126
2002-12-27,312.0,3891.0,0.08018504240555127
2003-01-27,318.25,3971.5833333333335,0.08013176944543528
2003-02-27,324.5,4052.1666666666665,0.0800806153086826
2003-03-27,330.75,4132.75,0.08003145605226544
2003-04-27,337.0,4213.333333333333,0.07998417721518988
2003-05-27,343.25,4293.916666666667,0.0799386729287558
2003-06-27,349.5,4374.5,0.07989484512515715
2003-07-27,355.75,4455.083333333333,0.07985260283197097
