Date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
07/2010,61.83870967741935,28.185758225806453,21.11479051612903,23.984078935483872,32.34892238709678,24.15613258064516,27.329310193548388,12.80668664874552,8.754667794444444,10.354838580645161,10.354838580645161,8.612903225806452,13.262062467741936,31.970322193548387,251.73326903225808,18.22967741935484,3.6934070341935485
07/2011,59.193548387096776,26.65672606451613,20.98414541935484,23.11217006451613,29.584716096774194,23.237802129032257,25.579763225806452,12.808046541218637,9.205953720430108,9.477419359354839,9.477419359354839,11.096774193548388,18.365426903225806,42.15483767741936,252.91924451612903,17.07935483870968,3.3159224064516133
07/2012,59.32258064516129,26.488984129032257,20.987371161290323,23.133003709677418,28.714719096774193,23.03174122580645,25.263031612903227,12.803456514336917,9.369185134408601,8.309677383870968,8.309677383870968,11.096774193548388,20.404664935483872,44.84903138709678,254.54212225806452,17.073870967741936,3.351633129032258
07/2013,59.58064516129032,26.374467967741936,20.677693677419356,22.980852903225806,29.42423370967742,23.16994793548387,25.705039096774193,12.804937482078854,7.8407241675627235,9.632258361290322,9.632258361290322,11.741935483870968,15.892928064516129,35.872257193548386,245.55622258064517,15.476774193548389,3.0626433838709675
07/2014,60.87096774193548,26.435758258064517,21.05995170967742,22.97225087096774,28.796669806451614,23.10580129032258,25.24017148387097,12.806402795698926,7.890171129032258,12.570967525806452,12.570967525806452,13.903225806451612,19.80139177419355,44.08257958064516,251.45767387096774,14.903870967741934,2.927904270967742
07/2015,56.806451612903224,26.89866158064516,21.266403419354837,23.449267,29.61786351612903,23.419388709677417,25.820589000000002,12.807788270609318,8.144406721326165,7.506451429032259,7.506451429032259,9.709677419354838,19.753382,44.63999938709678,250.61532129032258,16.533548387096772,3.2904449561290323
07/2016,60.03225806451613,27.668016258064515,20.947048612903227,23.724536129032256,31.290143741935484,23.678676677419357,26.669302258064516,12.803244265232975,10.020533646953405,8.935483961290323,8.935483961290323,10.419354838709678,15.72207035483871,36.534192999999995,251.04806967741936,18.820645161290326,3.7368631258064515
07/2017,56.16129032258065,25.52443509677419,20.574435096774195,22.43377690322581,27.957022129032257,22.297166129032256,24.480586709677418,12.804753413978496,7.447485133154122,7.099999852903226,7.099999852903226,12.709677419354838,20.922293741935484,41.63225703225807,259.7813722580645,14.74,2.785536308064516
07/2018,58.354838709677416,25.63895129032258,20.755080193548384,22.50481177419355,28.14779470967742,22.093852806451615,24.23382422580645,12.806258485663083,8.548703127240143,8.529032232258066,8.529032232258066,17.161290322580644,24.840352225806452,49.78451509677419,258.28911999999997,16.261290322580646,2.879993322580645
07/2019,57.193548387096776,26.351854387096772,20.84378993548387,22.978131451612903,29.120648774193548,22.853204483870968,25.210245967741933,12.807620017921147,9.615513414874552,6.7645162190322585,6.7645162190322585,11.548387096774194,22.032076612903225,44.4890314516129,261.9679206451613,18.114193548387096,3.3775283758064516
