year_month,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,month,year
01/2015,53.25806451612903,29.139742741935482,22.957484419354838,25.478854032258063,34.58436235483871,27.206665580645158,30.146871870967743,12.287424928315412,9.06460042562724,6.496773970967742,6.496773970967742,9.774193548387096,11.513561516129032,29.40387035483871,318.2588058064516,17.531935483870967,3.516330458064516,1.0,2015.0
01/2016,59.903225806451616,29.813936032258066,23.628452322580646,26.073545032258064,36.14555893548387,28.51236670967742,31.44795,12.287818342293907,8.999096293010753,8.045161141935484,8.045161141935484,11.35483870967742,9.6834906,25.06064461290323,296.5635844516129,16.82,3.4155608774193547,1.0,2016.0
01/2017,59.193548387096776,29.726742322580645,23.225129258064516,25.92452329032258,35.79378948387097,27.28660264516129,30.733893129032257,12.28647224014337,8.135108154121864,8.396774274193548,8.396774274193548,9.451612903225806,11.783363045161291,30.11225751612903,297.20669225806455,17.017096774193547,3.4986266096774195,1.0,2017.0
01/2018,42.354838709677416,30.083193612903223,22.855774419354837,26.04018216129032,35.204298161290325,26.52766829032258,30.35628670967742,12.286944327956988,8.469770376344085,4.13225803483871,4.13225803483871,5.548387096774194,12.652857293548387,30.820644516129033,291.6604764516129,18.49516129032258,3.914280258064516,1.0,2018.0
01/2019,59.96774193548387,29.72029048387097,23.038032387096774,25.807789741935483,35.61544583870968,27.28774558064516,30.659940064516128,12.287369121863799,8.38623111111111,10.077419630645162,10.077419630645162,13.096774193548388,13.159285193548387,30.959999580645164,300.06745903225806,17.61032258064516,3.557740012903226,1.0,2019.0
01/2020,61.12903225806452,29.500935677419353,23.189645451612904,25.817736225806453,35.87937035483871,27.75902229032258,31.093930225806453,12.287783906810036,8.582871129032258,11.196774396774194,11.196774396774194,15.903225806451612,11.889402241935484,28.405160225806448,305.7683119354839,16.970967741935485,3.3771822967741936,1.0,2020.0
01/2021,59.38709677419355,28.53319370967742,22.783193741935484,25.15765464516129,33.3531295483871,26.82377477419355,29.646797806451612,12.286451021505377,6.562992605734767,12.206451706451613,12.206451706451613,14.870967741935484,13.39510537419355,29.00903158064516,306.27131438709677,14.567096774193548,2.943300019354839,1.0,2021.0
01/2022,60.03225806451613,29.49932287096774,22.35093558064516,25.42882470967742,35.214544677419354,26.417648225806452,30.205270161290322,12.2869307437276,8.863626146953404,10.312903632258063,10.312903632258063,11.451612903225806,12.402364338709678,26.140644806451615,310.5513974193548,18.38774193548387,3.6743052193548387,1.0,2022.0
01/2023,60.03225806451613,29.33964529032258,22.413838870967744,25.170088258064517,35.14122758064516,26.356240741935483,29.837052935483868,12.287349758064517,7.984102547849463,11.041935358064515,11.041935358064515,12.03225806451613,13.252027922580645,28.90451570967742,278.34854180645164,17.981290322580644,3.5705087,1.0,2023.0
01/2024,62.354838709677416,29.95254864516129,23.083193677419352,25.788030161290322,36.142214419354836,27.588120645161293,31.11409206451613,12.287750564516129,8.00342558064516,19.787097040322582,19.787097040322582,16.0,11.364266148387097,28.486451161290322,295.7297458064516,17.384193548387096,3.483949919354839,1.0,2024.0
01/2025,58.354838709677416,29.023516290322583,22.755774419354836,25.321364774193547,33.95421322580645,26.72163506451613,29.87723641935484,12.286414569892473,6.9390464856630825,11.390323016129033,11.390323016129033,13.419354838709678,14.222308403225806,32.62064461290323,310.3041380645161,16.118387096774192,3.229669793548387,1.0,2025.0
02/1990,61.0,29.61307210714286,22.920214964285716,25.43888982142857,35.93254089285714,27.499496321428573,30.578242928571427,12.215221914682541,9.179366805555556,8.982142882142856,8.982142882142856,11.857142857142858,9.290741975,24.479999499999998,267.51974555714287,17.520714285714284,3.518966125,2.0,1990.0
02/1991,60.92857142857143,30.036286035714287,22.868429214285715,25.676909714285717,36.19700307142857,27.113900642857143,30.558179821428574,12.21589316468254,9.592744097222223,9.032142939285714,9.032142939285714,10.25,12.137616571428572,32.888570357142854,313.46671857142854,19.926428571428573,3.9719126357142858,2.0,1991.0
02/1992,60.172413793103445,29.549586620689652,22.596138586206894,25.417689620689654,35.747793,26.872825068965515,30.339378,12.215053515325671,9.077890258620691,9.231034668965517,9.231034668965517,11.172413793103448,9.783467324137932,24.579309689655172,293.30547795862066,18.115172413793104,3.6407884379310347,2.0,1992.0
02/1993,58.0,29.204143035714285,22.32914357142857,25.017386678571427,35.08776771428571,26.395299392857144,29.726802464285715,12.214380684523809,9.142079464285715,8.828571635357143,8.828571635357143,10.5,10.065547064285713,28.324284964285713,306.5407975,18.304285714285715,3.639581192857143,2.0,1993.0
02/1994,57.642857142857146,29.716643357142857,22.809500535714285,25.6260175,35.800121714285716,27.258925714285713,30.583595535714288,12.215101170634922,9.029716488095238,8.407142665714286,8.407142665714286,10.535714285714286,10.67932,28.079999285714283,314.3165325,18.321428571428573,3.700954439285714,2.0,1994.0
02/1995,61.0,28.663071857142857,22.545214821428573,24.88055682142857,34.31897817857143,26.65575960714286,29.528123464285716,12.21576369047619,7.3083823247023805,13.192857096428572,13.192857096428572,14.464285714285714,11.836091392857142,29.19857082142857,301.44436212500005,15.900357142857143,3.161136784642857,2.0,1995.0
02/1996,60.44827586206897,28.575448724137928,22.316828172413793,24.71783348275862,33.560026862068966,26.223295551724135,29.05659865517241,12.214959885057471,8.09563337164751,9.158620879310345,9.158620879310345,15.655172413793103,12.735851620689655,32.51172344827586,315.9081565517241,16.31758620689655,3.2177100896551725,2.0,1996.0
02/1997,58.285714285714285,29.682715214285714,22.60414342857143,25.48234235714286,35.35905675,26.78166085714286,30.229043142857144,12.214299484126984,8.824361775793651,8.700000001428572,8.700000001428572,10.642857142857142,10.587137442857143,30.175713642857144,322.3177628571429,17.924642857142857,3.6271463749999997,2.0,1997.0
02/1998,60.5,30.116643285714286,23.58807189285714,26.073562035714286,36.67749846428571,28.674681678571428,31.71070685714286,12.215031220238094,8.68638191468254,10.260714567857145,10.260714567857145,12.928571428571429,8.476577364285713,23.052856535714284,280.7276887805463,16.426785714285714,3.367791796428571,2.0,1998.0
02/1999,59.714285714285715,29.53807217857143,22.505929178571428,25.267610035714284,35.356244821428575,26.476582821428572,29.857964428571428,12.215717371031745,9.17435068452381,7.528571171428572,7.528571171428572,10.642857142857142,11.953896535714287,31.73142807142857,309.9588642857143,18.48,3.6682132035714288,2.0,1999.0
02/2000,57.96551724137931,29.584069655172417,22.518552310344827,25.433134586206897,35.06942482758621,26.70231548275862,30.128218482758623,12.214913007662835,8.707133789272032,7.879310173793103,7.879310173793103,9.724137931034482,11.07807521724138,28.824827172413794,322.8601255172414,18.11931034482759,3.670621568965517,2.0,2000.0
02/2001,58.0,29.44164339285714,22.62914346428571,25.381375499999997,35.26858907142857,26.69481185714286,30.080958214285715,12.214253422619048,9.369997615079365,7.471428625,7.471428625,10.285714285714286,11.242307835714286,32.11714189285714,301.3337743214286,18.4425,3.6857788357142858,2.0,2001.0
02/2002,55.57142857142857,29.597000857142856,22.882715178571427,25.67906707142857,35.17375442857143,27.123153642857144,30.334342357142855,12.214955337301587,10.086466428571429,5.0607143,5.0607143,8.642857142857142,12.59685175,32.92714185714286,318.42978857142856,19.577142857142857,3.9164797071428574,2.0,2002.0
02/2003,61.07142857142857,29.439857749999998,22.880929428571427,25.399752714285714,35.27777332142857,27.147159714285714,30.255875785714288,12.215617946428571,8.699015064484128,10.18571421,10.18571421,11.892857142857142,11.012436471428572,29.879999714285713,318.17008035714287,17.51142857142857,3.500414685714286,2.0,2003.0
02/2004,59.55172413793103,29.503035,22.884069586206895,25.468479862068964,35.34765889655173,27.255669344827584,30.354108413793103,12.214838869731802,8.810051829501916,9.006896562068965,9.006896562068965,11.448275862068966,10.698352996551725,27.881379068965515,318.16751068965516,17.80310344827586,3.5727907793103446,2.0,2004.0
02/2005,54.75,30.152357785714287,23.104143214285717,25.945511285714286,36.700009892857146,27.70368942857143,31.25257560714286,12.214162380952382,10.121870942460317,10.121428646428571,10.121428646428571,11.214285714285714,8.757223735714286,24.402856571428572,286.87409075,19.74607142857143,4.002320546428572,2.0,2005.0
02/2006,60.357142857142854,29.523786107142858,22.997000464285716,25.56463335714286,35.65772342857143,27.426563285714284,30.570141214285716,12.214853293650794,8.64858123015873,12.1357146,12.1357146,12.928571428571429,10.666764796428572,28.221428357142855,289.9152483214286,17.489642857142858,3.5051592642857146,2.0,2006.0
02/2007,56.214285714285715,29.3416435,22.955929071428574,25.542907678571428,34.976543785714284,27.367520285714285,30.35619882142857,12.21552548611111,9.0877741765873,7.47142855,7.47142855,11.214285714285714,10.241679435714286,25.61142782142857,300.1285423928571,17.61642857142857,3.5618202035714286,2.0,2007.0
02/2008,50.724137931034484,29.55475951724138,23.025449068965518,25.810146379310343,34.406086482758624,26.87350003448276,30.028205827586206,12.214734846743296,9.227527834291188,4.172413824137931,4.172413824137931,7.241379310344827,13.400479410344829,34.79586144827586,320.89192724137934,18.814827586206896,3.870607479310345,2.0,2008.0
02/2009,55.857142857142854,29.28628635714286,22.8416435,25.519692321428572,34.8031785,27.1572065,30.31503132142857,12.214059871031747,8.110014290674602,7.710714217857143,7.710714217857143,9.678571428571429,10.099391453571428,29.365713821428574,296.26073264285714,16.728928571428572,3.404510046428572,2.0,2009.0
02/2010,62.785714285714285,29.947000642857144,23.297000464285713,25.778398464285715,36.73860382142857,28.17149439285714,31.325045285714285,12.21474128968254,8.112386216269842,20.474999878571428,20.474999878571428,14.535714285714286,8.9950142,22.808570964285714,285.8785957857143,16.793214285714285,3.418968742857143,2.0,2010.0
02/2011,55.857142857142854,29.70414332142857,22.820214857142854,25.7609875,35.41875414285714,27.07360692857143,30.507363321428574,12.215412777777777,9.220444479166668,4.5999998375,4.5999998375,8.642857142857142,11.98387640357143,31.808570357142855,308.7272777142857,19.130714285714284,3.846731167857143,2.0,2011.0
02/2012,61.41379310344828,29.55820748275862,22.716828068965516,25.442833137931036,36.23422924137931,27.26667582758621,30.623135586206896,12.214649616858237,8.866422407088123,10.84827608275862,10.84827608275862,13.413793103448276,8.450293979310345,23.449654724137933,260.9050431034483,17.94551724137931,3.611979372413793,2.0,2012.0
02/2013,59.42857142857143,29.505929142857145,23.155928999999997,25.705184107142856,35.57900253571429,27.478502821428574,30.66312092857143,12.213953799603175,8.17041501889881,13.749999312142858,13.749999312142858,12.75,11.406932017857143,30.162856285714287,314.9982685714286,16.85607142857143,3.4127118642857144,2.0,2013.0
02/2014,55.857142857142854,29.786286178571427,23.08985767857143,25.95920207142857,35.327902464285714,27.5152355,30.764710964285715,12.214636815476192,9.690688501984127,5.7392858375,5.7392858375,8.25,10.847487392857143,28.88999910714286,316.2049181071429,18.626785714285713,3.808886317857143,2.0,2014.0
02/2015,49.857142857142854,29.063071964285715,22.743429035714286,25.43769825,34.52920460714286,26.91085646428571,30.079749964285714,12.215333998015874,9.221399474206349,6.7821428642857144,6.7821428642857144,8.642857142857142,10.369969378571428,26.177142392857142,308.7623632857143,17.780357142857145,3.591200107142857,2.0,2015.0
